,category,headline,date
0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",2018-05-26
1,CRIME,Rachel Dolezal Faces Felony Charges For Welfare Fraud,2018-05-25
2,CRIME,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's",2018-05-25
3,CRIME,2 People Injured In Indiana School Shooting,2018-05-25
4,CRIME,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls,2018-05-23
5,CRIME,Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex,2018-05-22
6,CRIME,"'This Isn’t Pakistan, Bitch': Video Captures Driver’s Racist Rant",2018-05-21
7,CRIME,These Are The Victims Of The Santa Fe High School Shooting,2018-05-19
8,CRIME,"Hospice Overdosed Patients To 'Hasten Their Deaths,' Former Health Care Executive Admits",2018-05-18
9,CRIME,Former WWF Wrestler Severely Beaten Outside California Home,2018-05-18
10,CRIME,Manhattan District Attorney Vows To Stop Prosecuting Minor Marijuana Cases,2018-05-16
11,CRIME,"Larry Nassar Blames His Victims, Says He 'Was Victimized' In Newly Released Videos",2018-05-16
12,CRIME,"Video Shows 8-Year-Old With Autism Taunted, Abused By Bus Driver",2018-05-16
13,CRIME,"Suspect In Custody After Shooting At California High School, 1 Injured",2018-05-11
14,CRIME,Accused Golden State Killer Faces Four Additional Murder Counts,2018-05-11
15,CRIME,7 Killed In What May Be Australia's Worst Mass Shooting Since 1996,2018-05-11
16,CRIME,Police Search Suspected Serial Killer's Dumping Ground,2018-05-11
17,CRIME,Nurse Charged In Death Of Ex-Trump Adviser H.R. McMaster's Father,2018-05-10
18,CRIME,"Girls, 10 and 11, Accused Of Plotting To Kill Classmate",2018-05-10
19,CRIME,Woman Alleges Rapper Young Lo Raped Her While She Was Trapped In Chris Brown's Home,2018-05-10
20,CRIME,"S.C. Man Wanted White Supremacists To Kill Black Neighbor, Burn Cross In His Yard: FBI",2018-05-10
21,CRIME,George Zimmerman Accused Of Stalking Detective Working On Trayvon Martin Film,2018-05-08
22,CRIME,Police Hope To Use DNA To Catch The Zodiac Killer,2018-05-08
23,CRIME,138 Were Killed Last Year In Record Number Of U.S. 'Active Shooter' Attacks,2018-05-07
24,CRIME,"Georgia Highway Sniper 'Idolized' Parkland Shooter, Police Say",2018-05-06
25,CRIME,Man Who Killed Indian Immigrant Sentenced To Life In Prison,2018-05-05
26,CRIME,Badass Grandpa Uses Fancy Footwork To Trip Armed Suspect Fleeing From Cops,2018-05-05
27,CRIME,Gang Used Drone Swarm To Thwart FBI Hostage Raid,2018-05-04
28,CRIME,"1 Person Dead After Shooting At Nashville, Tennessee, Mall",2018-05-03
29,CRIME,1 Person Found Dead After Explosion Rocks Site Of Alleged Domestic Hostage Situation,2018-05-03
30,CRIME,Camille Cosby Says Husband's Guilty Verdict Is 'Mob Justice' In Bizarre Statement,2018-05-03
31,CRIME,Bodycam Video Of Police Entering Las Vegas Shooter's Hotel Room Finally Released,2018-05-03
32,CRIME,Veterinarian Accused Of Smuggling Heroin Inside Puppies' Bellies,2018-05-02
33,CRIME,Parkland Suspect’s Brother Jailed On Probation Violation Charge,2018-05-02
34,CRIME,White Supremacist Found Guilty In Charlottesville Beating Of Black Man,2018-05-02
35,CRIME,9 Dead After C-130 Military Cargo Plane Crashes In Georgia,2018-05-02
36,CRIME,Janice Dickinson Says She Won't Feel 'Vindicated' Until Cosby Is Jailed,2018-05-01
37,CRIME,"57 White Supremacists In Texas Indicted In Meth, Kidnapping Cases",2018-05-01
38,CRIME,Wealthy Texas Couple Accused Of Enslaving Young Woman For 16 Years,2018-04-30
39,CRIME,How To Convict A Rapist,2018-04-29
40,CRIME,The Cosby Verdict Won’t Fix A Broken Legal System,2018-04-27
41,CRIME,Links Suspected Between Severed Heads Found In Louisiana And Texas,2018-04-27
42,CRIME,DNA From Genealogy Sites Helped Investigators Zero In On 'Golden State Killer' Suspect,2018-04-27
43,CRIME,Patton Oswalt Celebrates Michelle McNamara's Legacy After Arrest In 'Golden State Killer' Case,2018-04-26
44,CRIME,Missing Teen Found Safe After Ominous 'Call Police' Phone Message,2018-04-26
45,CRIME,Bill Cosby Found Guilty In Sexual Assault Retrial,2018-04-26
46,CRIME,Bill Cosby Yells At Prosecutor After Guilty Verdict: 'You A**hole!',2018-04-26
47,CRIME,2 Arizona Women Are Accused Of Performing Dangerous Dental Surgeries,2018-04-26
48,CRIME,Nassar Judge Speaks Out For The First Time Since Highly Publicized Sentencing,2018-04-25
49,CRIME,Authorities Confirm Arrest Of Ex-Cop In 'Golden State Serial Killer' Case,2018-04-25
50,CRIME,Cops Make Arrest In Infamous 'Golden State Killer' Case: Report,2018-04-25
51,CRIME,Dallas Officer Shot At Home Depot Dies. 2 Others Still In Hospital.,2018-04-24
52,CRIME,Hefty Prison Sentence For Man Who Stole $1.2 Million In Fajitas,2018-04-24
53,CRIME,Hero In Waffle House Shooting Is Raising Funds For Victims,2018-04-24
54,CRIME,"Police Arrest Waffle House Shooting Suspect, Ending Manhunt",2018-04-23
55,CRIME,Felony Charges For Father Of Toddler Who Shot Pregnant Mom,2018-04-21
